beta,unknown,condition,crossings,n_cross,n_wrong_cross,wrong_theta_ticks,wrong_theta_task_ticks,correct_theta_ticks,max_conf,reveals,unknown_when_idle,coffee_max_seg2,coffee_theta_ticks_seg2,deliver_max_seg2,item6_3a_end,item6_3b_start_end,item6_3b_falls,max_task_seg3,unknown_end_seg3,ac_max_184_271,ac_most_likely_ticks_184_271,at_272
0.014,0.07,s40_on,14:d(item_3) 123:coffee 211:unknown,3,0,166,62,181,0.993,"d(item_3):14(pre-grasp,grasp 60) coffee:123(no-grasp,grasp None) d(item_6):never(max 0.00)",0.313,0.929,61,0.001,0.001,0.001->0.001,True,0.929,0.993,0.929,20,unknown 0.993 (item_6 0.001)
0.014,0.07,s30_on,16:d(item_3),1,0,49,0,93,0.995,"d(item_3):16(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.07,s00_on,8:d(item_3),1,0,66,0,95,0.995,"d(item_3):8(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.1,s40_on,14:d(item_3) 123:coffee 211:unknown,3,0,163,59,181,0.993,"d(item_3):14(pre-grasp,grasp 60) coffee:123(no-grasp,grasp None) d(item_6):never(max 0.00)",0.344,0.904,61,0.001,0.001,0.001->0.001,True,0.904,0.993,0.904,18,unknown 0.993 (item_6 0.001)
0.014,0.1,s30_on,17:d(item_3),1,0,49,0,92,0.995,"d(item_3):17(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.1,s00_on,8:d(item_3),1,0,66,0,95,0.995,"d(item_3):8(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.14,s40_on,15:d(item_3) 124:coffee 210:unknown,3,0,161,57,180,0.993,"d(item_3):15(pre-grasp,grasp 60) coffee:124(no-grasp,grasp None) d(item_6):never(max 0.00)",0.379,0.872,60,0.001,0.001,0.001->0.001,True,0.872,0.993,0.872,17,unknown 0.993 (item_6 0.001)
0.014,0.14,s30_on,18:d(item_3),1,0,49,0,93,0.995,"d(item_3):18(pre-grasp,grasp 39) d(item_7):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.14,s00_on,9:d(item_3),1,0,66,0,94,0.995,"d(item_3):9(pre-grasp,grasp 41) d(item_2):never(max 0.00)",0.995,,,,,,,,,,,
0.014,0.2,s40_on,17:d(item_3) 125:coffee 205:unknown,3,0,158,54,182,0.993,"d(item_3):17(pre-grasp,grasp 60) coffee:125(no-grasp,grasp None) d(item_6):never(max 0.00)",0.422,0.828,59,0.001,0.001,0.001->0.001,True,0.828,0.993,0.828,15,unknown 0.993 (item_6 0.001)
