condition,step,hypothesis,expected_action,excess_cm,base,belief,walked_cm
s00_off,42,d(item_2),"place(?item=item_3,?target=shelf_3)",,1e-06,0.001,0.0
s00_off,42,d(item_3),move_to(?target=kitting_table_0),0.0,0.817689,0.8154,0.0
s00_off,42,d(item_4),"place(?item=item_3,?target=shelf_3)",,2.4e-05,0.001,0.0
s00_off,42,d(item_6),"place(?item=item_3,?target=shelf_3)",,0.017388,0.1734,0.0
s00_off,43,d(item_2),move_to(?target=shelf_3),0.0,1e-06,0.001,0.0
s00_off,43,d(item_3),move_to(?target=kitting_table_0),0.0,0.097819,0.9753,20.0
s00_off,43,d(item_4),move_to(?target=shelf_3),0.0,2.9e-05,0.001,0.0
s00_off,43,d(item_6),move_to(?target=shelf_3),0.0,0.020801,0.0207,0.0
s00_off,44,d(item_2),move_to(?target=shelf_3),39.6,1e-06,0.001,20.0
s00_off,44,d(item_3),move_to(?target=kitting_table_0),0.0,0.085299,0.8505,40.0
s00_off,44,d(item_4),move_to(?target=shelf_3),39.6,2.5e-05,0.001,20.0
s00_off,44,d(item_6),move_to(?target=shelf_3),39.6,0.018139,0.1455,20.0
s00_off,45,d(item_2),move_to(?target=shelf_3),79.4,1e-06,0.001,40.0
s00_off,45,d(item_3),move_to(?target=kitting_table_0),0.0,0.088215,0.8795,60.0
s00_off,45,d(item_4),move_to(?target=shelf_3),79.4,2.6e-05,0.001,40.0
s00_off,45,d(item_6),move_to(?target=shelf_3),79.4,0.018759,0.1165,40.0
s00_off,46,d(item_2),move_to(?target=shelf_3),119.3,1e-06,0.001,60.0
s00_off,46,d(item_3),move_to(?target=kitting_table_0),0.0,0.090897,0.9063,80.0
s00_off,46,d(item_4),move_to(?target=shelf_3),119.3,2.7e-05,0.001,60.0
s00_off,46,d(item_6),move_to(?target=shelf_3),119.3,0.019329,0.0897,60.0
s00_off,47,d(item_2),move_to(?target=shelf_3),159.2,1e-06,0.001,80.0
s00_off,47,d(item_3),move_to(?target=kitting_table_0),0.0,0.093194,0.9292,100.0
s00_off,47,d(item_4),move_to(?target=shelf_3),159.2,2.8e-05,0.001,80.0
s00_off,47,d(item_6),move_to(?target=shelf_3),159.2,0.019818,0.0668,80.0
s00_off,48,d(item_2),move_to(?target=shelf_3),199.1,1e-06,0.001,100.0
s00_off,48,d(item_3),move_to(?target=kitting_table_0),-0.0,0.095043,0.9476,120.0
s00_off,48,d(item_4),move_to(?target=shelf_3),199.1,2.8e-05,0.001,100.0
s00_off,48,d(item_6),move_to(?target=shelf_3),199.1,0.020211,0.0484,100.0
s00_off,49,d(item_2),move_to(?target=shelf_3),239.1,1e-06,0.001,120.0
s00_off,49,d(item_3),move_to(?target=kitting_table_0),0.0,0.096458,0.9617,140.0
s00_off,49,d(item_4),move_to(?target=shelf_3),239.1,2.9e-05,0.001,120.0
s00_off,49,d(item_6),move_to(?target=shelf_3),239.1,0.020512,0.0343,120.0
s00_off,50,d(item_2),move_to(?target=shelf_3),279.1,1e-06,0.001,140.0
s00_off,50,d(item_3),move_to(?target=kitting_table_0),0.0,0.097501,0.9721,160.0
s00_off,50,d(item_4),move_to(?target=shelf_3),279.1,2.9e-05,0.001,140.0
s00_off,50,d(item_6),move_to(?target=shelf_3),279.1,0.020734,0.0239,140.0
s00_off,51,d(item_2),move_to(?target=shelf_3),319.0,1e-06,0.001,160.0
s00_off,51,d(item_3),move_to(?target=kitting_table_0),0.0,0.098248,0.9795,180.0
s00_off,51,d(item_4),move_to(?target=shelf_3),319.0,2.9e-05,0.001,160.0
s00_off,51,d(item_6),move_to(?target=shelf_3),319.0,0.020892,0.0165,160.0
s00_off,52,d(item_2),move_to(?target=shelf_3),359.0,1e-06,0.001,180.0
s00_off,52,d(item_3),move_to(?target=kitting_table_0),0.0,0.098772,0.9848,200.0
s00_off,52,d(item_4),move_to(?target=shelf_3),359.0,2.9e-05,0.001,180.0
s00_off,52,d(item_6),move_to(?target=shelf_3),359.0,0.021004,0.0112,180.0
s00_off,53,d(item_2),move_to(?target=shelf_3),399.0,1e-06,0.001,200.0
s00_off,53,d(item_3),move_to(?target=kitting_table_0),0.0,0.099134,0.9884,220.0
s00_off,53,d(item_4),move_to(?target=shelf_3),399.0,2.9e-05,0.001,200.0
s00_off,53,d(item_6),move_to(?target=shelf_3),399.0,0.021081,0.0076,200.0
s00_off,54,d(item_2),move_to(?target=shelf_3),439.0,1e-06,0.001,220.0
s00_off,54,d(item_3),move_to(?target=kitting_table_0),0.0,0.099382,0.9908,240.0
