ticks: base 379 new 379  eps=0.0005
  t=330 base=d(item_6)(0.838) new=unknown(0.993)  human: deliver_item/move_to/None

== changed-key episodes (|new-base| > eps) ==
  t=0-7 human@start deliver_item/move_to/step:
      ac           max Δ=+0.103 at t=0 (0.027 → 0.130)
      coffee       max Δ=-0.098 at t=0 (0.251 → 0.153)
      d(item_3)    max Δ=-0.145 at t=0 (0.304 → 0.159)
      d(item_4)    max Δ=+0.058 at t=0 (0.077 → 0.135)
      d(item_5)    max Δ=-0.033 at t=7 (0.125 → 0.092)
      d(item_6)    max Δ=+0.034 at t=0 (0.103 → 0.137)
      d(item_7)    max Δ=+0.094 at t=0 (0.037 → 0.131)
      unknown      max Δ=-0.060 at t=0 (0.076 → 0.016)
  t=8-8 human@start deliver_item/move_to/step:
      coffee       max Δ=+0.022 at t=8 (0.251 → 0.273)
      d(item_3)    max Δ=+0.132 at t=8 (0.304 → 0.436)
      d(item_4)    max Δ=-0.031 at t=8 (0.077 → 0.046)
      d(item_5)    max Δ=-0.045 at t=8 (0.125 → 0.080)
      d(item_6)    max Δ=-0.040 at t=8 (0.103 → 0.063)
      d(item_7)    max Δ=-0.006 at t=8 (0.037 → 0.031)
      unknown      max Δ=-0.032 at t=8 (0.076 → 0.044)
  t=9-18 human@start deliver_item/move_to/step:
      ac           max Δ=-0.026 at t=17 (0.027 → 0.001)
      coffee       max Δ=-0.086 at t=18 (0.251 → 0.165)
      d(item_3)    max Δ=+0.438 at t=18 (0.304 → 0.742)
      d(item_4)    max Δ=-0.074 at t=18 (0.077 → 0.003)
      d(item_5)    max Δ=-0.116 at t=18 (0.125 → 0.009)
      d(item_6)    max Δ=-0.098 at t=18 (0.103 → 0.005)
      d(item_7)    max Δ=-0.036 at t=18 (0.037 → 0.001)
      unknown      max Δ=-0.028 at t=9 (0.076 → 0.048)
  t=19-19 human@start deliver_item/move_to/step:
      ac           max Δ=-0.026 at t=19 (0.027 → 0.001)
      coffee       max Δ=-0.104 at t=19 (0.251 → 0.147)
      d(item_3)    max Δ=+0.458 at t=19 (0.304 → 0.762)
      d(item_4)    max Δ=-0.075 at t=19 (0.077 → 0.002)
      d(item_5)    max Δ=-0.118 at t=19 (0.125 → 0.007)
      d(item_6)    max Δ=-0.099 at t=19 (0.103 → 0.004)
      d(item_7)    max Δ=-0.036 at t=19 (0.037 → 0.001)
  t=20-62 human@start deliver_item/move_to/step:
      ac           max Δ=-0.026 at t=20 (0.027 → 0.001)
      coffee       max Δ=-0.250 at t=41 (0.251 → 0.001)
      d(item_3)    max Δ=+0.600 at t=42 (0.304 → 0.904)
      d(item_4)    max Δ=-0.076 at t=20 (0.077 → 0.001)
      d(item_5)    max Δ=-0.124 at t=25 (0.125 → 0.001)
      d(item_6)    max Δ=-0.102 at t=23 (0.103 → 0.001)
      d(item_7)    max Δ=-0.036 at t=20 (0.037 → 0.001)
      unknown      max Δ=+0.076 at t=62 (0.014 → 0.090)
  t=63-114 human@start deliver_item/move_to/step:
      ac           max Δ=-0.004 at t=63 (0.005 → 0.001)
      coffee       max Δ=-0.047 at t=63 (0.048 → 0.001)
      d(item_3)    max Δ=-0.023 at t=106 (0.927 → 0.904)
      d(item_5)    max Δ=-0.001 at t=63 (0.002 → 0.001)
      d(item_6)    max Δ=-0.001 at t=63 (0.002 → 0.001)
      unknown      max Δ=+0.076 at t=63 (0.014 → 0.090)
  t=115-144 human@start deliver_item/place/release:
      ac           max Δ=-0.206 at t=144 (0.207 → 0.001)
      coffee       max Δ=-0.645 at t=115 (0.646 → 0.001)
      d(item_4)    max Δ=-0.043 at t=118 (0.044 → 0.001)
      d(item_5)    max Δ=-0.088 at t=118 (0.089 → 0.001)
      d(item_6)    max Δ=-0.067 at t=118 (0.068 → 0.001)
      d(item_7)    max Δ=-0.015 at t=118 (0.016 → 0.001)
      unknown      max Δ=+0.866 at t=138 (0.127 → 0.993)
  t=145-183 human@start coffee_break/move_to/step:
      ac           max Δ=-0.218 at t=152 (0.219 → 0.001)
      coffee       max Δ=-0.517 at t=145 (0.518 → 0.001)
      d(item_5)    max Δ=-0.070 at t=145 (0.071 → 0.001)
      d(item_6)    max Δ=-0.053 at t=145 (0.054 → 0.001)
      d(item_7)    max Δ=-0.012 at t=145 (0.013 → 0.001)
      unknown      max Δ=+0.865 at t=153 (0.128 → 0.993)
  t=184-242 human@start coffee_break/wait_at/stand:
      ac           max Δ=-0.543 at t=242 (0.544 → 0.001)
      d(item_5)    max Δ=-0.144 at t=184 (0.145 → 0.001)
      d(item_6)    max Δ=-0.110 at t=184 (0.111 → 0.001)
      d(item_7)    max Δ=-0.028 at t=197 (0.029 → 0.001)
      unknown      max Δ=+0.792 at t=242 (0.201 → 0.993)
  t=243-330 human@start deliver_item/move_to/step:
      ac           max Δ=-0.614 at t=270 (0.615 → 0.001)
      d(item_5)    max Δ=-0.129 at t=243 (0.130 → 0.001)
      d(item_6)    max Δ=-0.837 at t=329 (0.838 → 0.001)
      unknown      max Δ=+0.921 at t=274 (0.072 → 0.993)
  t=331-375 human@start deliver_item/place/release:
      ac           max Δ=-0.328 at t=331 (0.329 → 0.001)
      d(item_5)    max Δ=-0.059 at t=331 (0.060 → 0.001)
      unknown      max Δ=+0.386 at t=331 (0.607 → 0.993)
  t=376-378 human@start None/None/None:
      ac           max Δ=-0.348 at t=376 (0.349 → 0.001)
      unknown      max Δ=+0.348 at t=376 (0.645 → 0.993)

== meta lines ==
  -[meta-proj] confidence=0.304 theta=0.750 projection=none(below_theta)
  +[meta-proj] confidence=0.159 theta=0.750 projection=none(below_theta)
  -[meta-proj] confidence=0.875 theta=0.750 projection=built
  -[meta-cand] deliver_item(?item=item_4,?kitting_table=kitting_table_0) cost=83 feasible=True conflicts=1076 min_dist=562.17286828374
  -[meta-cand] deliver_item(?item=item_7,?kitting_table=kitting_table_0) cost=96 feasible=True conflicts=1075 min_dist=828.7398170127095
  -[meta-cand] deliver_item(?item=item_5,?kitting_table=kitting_table_0) cost=108 feasible=True conflicts=1076 min_dist=1062.5252124053313
  -[meta] step=62 trigger=theta_crossed winner=deliver_item{'?item': 'item_4', '?kitting_table': 'kitting_table_0'} queue=["deliver_item{'?item': 'item_7', '?kitting_table': 'kitting_table_0'}", "deliver_item{'?item': 'item_5', '?kitting_table': 'kitting_table_0'}"]
