ticks: base 379 new 379  eps=0.0005
  t=308 base=d(item_3)(0.851) new=d(item_6)(0.664)  human: deliver_item/move_to/step
  t=309 base=d(item_3)(0.850) new=d(item_6)(0.665)  human: deliver_item/move_to/step
  t=310 base=d(item_3)(0.849) new=d(item_6)(0.666)  human: deliver_item/move_to/step
  t=311 base=d(item_3)(0.848) new=d(item_6)(0.667)  human: deliver_item/move_to/step
  t=312 base=d(item_3)(0.847) new=d(item_6)(0.669)  human: deliver_item/move_to/step
  t=313 base=d(item_3)(0.846) new=d(item_6)(0.670)  human: deliver_item/move_to/step
  t=314 base=d(item_3)(0.845) new=d(item_6)(0.672)  human: deliver_item/move_to/step
  t=315 base=d(item_3)(0.844) new=d(item_6)(0.674)  human: deliver_item/move_to/step
  t=316 base=d(item_3)(0.843) new=d(item_6)(0.677)  human: deliver_item/move_to/step
  t=317 base=d(item_3)(0.842) new=d(item_6)(0.680)  human: deliver_item/move_to/step
  t=318 base=d(item_3)(0.841) new=d(item_6)(0.683)  human: deliver_item/move_to/step
  t=319 base=d(item_3)(0.840) new=d(item_6)(0.688)  human: deliver_item/move_to/step
  t=320 base=d(item_3)(0.839) new=d(item_6)(0.693)  human: deliver_item/move_to/step
  t=321 base=d(item_3)(0.839) new=d(item_6)(0.700)  human: deliver_item/move_to/step
  t=322 base=d(item_3)(0.839) new=d(item_6)(0.708)  human: deliver_item/move_to/step
  t=323 base=d(item_3)(0.839) new=d(item_6)(0.719)  human: deliver_item/move_to/step
  t=324 base=d(item_3)(0.839) new=d(item_6)(0.733)  human: deliver_item/move_to/step
  t=325 base=d(item_3)(0.840) new=d(item_6)(0.751)  human: deliver_item/move_to/step
  t=326 base=d(item_3)(0.841) new=d(item_6)(0.773)  human: deliver_item/move_to/step
  t=327 base=d(item_3)(0.843) new=d(item_6)(0.798)  human: deliver_item/move_to/step
  t=328 base=d(item_3)(0.844) new=d(item_6)(0.823)  human: deliver_item/move_to/step
  t=329 base=d(item_3)(0.845) new=d(item_6)(0.845)  human: deliver_item/move_to/step
  t=330 base=d(item_3)(0.845) new=d(item_6)(0.845)  human: deliver_item/move_to/None
  t=331 base=d(item_3)(0.668) new=unknown(0.645)  human: deliver_item/place/release
  t=332 base=d(item_3)(0.668) new=unknown(0.645)  human: deliver_item/place/None
  t=333 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=334 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=335 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=336 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=337 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=338 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=339 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=340 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=341 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=342 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=343 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
  t=344 base=d(item_3)(0.668) new=unknown(0.645)  human: None/None/None
